Mushroom Variety,Temperature (°C),Humidity %,Airflow Speed (m/s),Light Intensity (lux),Substrate Moisture Level %,Water Quality Index,Harvest Count per Cycle,Variety_ID
Oyster,21.89,81.75,0.38,119.73,56.67,86.69,16.29,4
Enoki,10.75,95.26,0.11,40.81,78.27,100.56,29.68,1
Enoki,10.42,92.15,0.1,38.53,81.85,87.21,26.11,1
Button,17.64,95.7,0.1,62.91,80.89,94.5,24.84,0
Enoki,11.81,87.56,0.2,53.82,75.6,96.46,27.35,1
Oyster,20.71,85.36,0.4,120.28,63.54,84.55,17.04,4
Portobello,17.79,86.87,0.41,128.26,63.32,86.71,19.44,5
Lion's Mane,20.94,92.36,0.2,83.21,72.19,90.07,15.62,2
Portobello,17.68,78.45,0.49,138.67,68.19,84.37,19.99,5
Portobello,18.19,86.71,0.42,129.91,66.59,81.69,17.95,5
Oyster,24.56,90.07,0.28,112.77,68.24,88.39,18.78,4
Button,18.75,88.15,0.3,88.59,75.61,86.18,24.78,0
Lion's Mane,19.42,85.23,0.2,76.9,72.09,90.4,14.97,2
Lion's Mane,22.1,81.75,0.3,99.6,66.6,87.35,17.22,2
Lion's Mane,19.04,92.59,0.21,80.89,72.27,85.11,14.47,2
Button,17.73,102.0,0.22,82.22,82.82,96.26,22.49,0
Button,20.4,102.97,0.09,61.69,75.46,85.86,23.29,0
Portobello,23.92,80.58,0.76,169.37,59.64,78.12,10.04,5
Lion's Mane,19.92,83.59,0.41,77.67,66.44,83.7,13.86,2
Button,19.31,96.24,0.09,63.73,86.06,79.44,22.32,0
Shiitake,23.23,77.37,0.51,171.53,54.34,72.97,13.38,6
Milky,25.14,69.41,0.61,193.35,58.52,76.58,10.26,3
Button,19.78,103.75,0.1,59.02,82.68,86.2,21.55,0
Portobello,15.46,94.65,0.45,136.48,67.23,73.29,17.71,5
Oyster,22.95,88.2,0.31,116.86,73.38,84.34,18.54,4
Oyster,21.94,89.71,0.41,114.55,70.34,81.84,18.08,4
Lion's Mane,19.53,85.6,0.2,81.51,74.73,84.9,15.65,2
Portobello,18.13,94.9,0.47,125.58,59.54,80.49,20.76,5
Shiitake,22.07,82.19,0.54,164.72,62.67,77.68,13.16,6
Shiitake,23.21,80.4,0.7,176.64,65.36,76.96,10.68,6
Shiitake,23.55,85.28,0.69,161.95,53.49,64.56,11.09,6
Milky,26.41,68.34,0.63,183.37,54.42,71.33,10.04,3
Enoki,11.05,90.69,0.11,30.09,82.06,93.89,29.29,1
Enoki,10.8,96.51,0.1,32.26,71.13,99.13,30.81,1
Button,16.73,88.42,0.19,87.01,78.51,95.72,25.9,0
Shiitake,21.72,84.01,0.47,165.7,61.25,74.58,13.46,6
Milky,24.71,64.94,0.91,202.48,54.83,71.63,8.55,3
Oyster,21.1,84.41,0.43,109.48,67.46,76.21,19.12,4
Oyster,22.69,86.09,0.51,140.27,62.53,79.51,18.94,4
Shiitake,21.45,82.97,0.71,168.44,58.05,76.3,10.7,6
Milky,28.82,68.43,0.87,209.96,52.82,60.98,7.78,3
Button,20.92,83.07,0.34,98.92,74.77,90.92,21.14,0
Oyster,22.7,85.84,0.46,144.07,61.89,76.81,18.14,4
Shiitake,20.87,87.36,0.55,149.07,56.3,78.57,12.14,6
Lion's Mane,20.01,98.11,0.37,84.02,73.63,82.01,14.29,2
Oyster,24.76,94.38,0.31,101.36,67.46,82.96,18.93,4
Enoki,20.18,92.75,0.21,84.32,75.0,91.04,14.95,1
Lion's Mane,19.94,88.28,0.2,77.86,64.97,87.76,15.27,2
Portobello,18.49,87.65,0.49,135.76,60.43,85.08,18.96,5
Milky,26.03,79.14,0.64,197.94,49.46,76.7,9.89,3
Oyster,24.86,90.21,0.32,106.24,68.22,73.56,19.87,4
Lion's Mane,19.54,87.01,0.22,80.67,71.97,88.4,15.59,2
Enoki,11.98,94.09,0.22,47.5,81.84,89.04,26.93,1
Lion's Mane,20.4,88.24,0.42,88.51,70.1,82.86,14.69,2
Oyster,24.62,95.37,0.3,101.75,72.21,94.31,19.1,4
Enoki,12.21,91.25,0.19,48.24,87.19,94.22,25.87,1
Shiitake,22.79,72.95,0.7,168.41,58.36,75.86,10.47,6
Button,20.17,96.99,0.29,101.12,75.94,91.11,25.91,0
Oyster,24.82,98.31,0.31,108.02,72.07,88.66,19.78,4
Milky,25.27,72.08,0.84,199.05,55.63,71.45,8.64,3
Oyster,23.32,85.2,0.47,145.22,69.16,88.65,16.74,4
Shiitake,20.9,86.19,0.62,151.4,58.66,78.76,12.64,6
Enoki,11.87,88.69,0.1,30.57,88.42,93.69,28.19,1
Lion's Mane,21.29,91.01,0.29,99.17,71.62,89.51,15.61,2
Oyster,23.73,84.84,0.3,113.48,65.7,90.97,19.85,4
Lion's Mane,20.15,88.7,0.21,86.88,81.06,81.63,14.69,2
Shiitake,22.81,84.49,0.48,162.59,65.87,77.87,12.33,6
Enoki,11.4,88.42,0.1,29.3,76.56,99.43,26.89,1
Lion's Mane,22.51,86.31,0.41,89.67,71.07,90.42,15.19,2
Portobello,17.5,82.9,0.54,135.7,64.28,83.11,20.21,5
Oyster,20.94,83.13,0.42,123.32,65.33,80.88,18.19,4
Shiitake,23.8,81.57,0.73,175.4,61.04,72.99,11.72,6
Milky,26.02,87.93,0.33,115.91,78.29,82.22,18.66,3
Lion's Mane,21.13,92.97,0.46,89.57,64.83,88.2,14.15,2
Oyster,22.39,88.33,0.29,111.93,69.68,86.11,19.36,4
Milky,29.81,75.29,0.68,193.92,56.76,72.62,10.75,3
Button,18.59,84.75,0.21,85.52,72.65,91.78,21.14,0
Milky,26.47,74.1,0.82,196.29,57.12,61.75,9.52,3
Button,19.32,81.76,0.33,107.69,70.66,83.62,22.53,0
Lion's Mane,23.27,83.46,0.3,89.56,72.06,87.5,15.41,2
Milky,26.57,75.06,0.92,214.52,55.73,70.84,7.9,3
Enoki,11.81,90.9,0.2,48.81,75.57,87.58,29.32,1
Portobello,18.33,86.92,0.4,147.6,59.96,94.04,18.17,5
Lion's Mane,20.57,88.53,0.39,88.08,65.55,87.06,15.6,2
Milky,30.24,67.8,0.91,221.03,55.93,74.15,8.26,3
Enoki,10.66,91.42,0.1,40.66,81.29,93.94,30.26,1
Button,18.81,91.36,0.2,83.01,73.8,94.27,21.21,0
Lion's Mane,20.96,99.13,0.21,71.37,75.83,99.0,14.77,2
Milky,28.47,73.22,0.8,202.83,53.16,73.94,7.82,3
Milky,23.7,74.63,0.53,184.94,61.63,75.2,10.09,3
Lion's Mane,25.4,73.2,0.9,195.2,51.76,68.5,8.18,2
Lion's Mane,21.39,91.99,0.31,87.54,66.54,91.09,15.21,2
Milky,27.44,69.34,0.87,200.6,51.5,71.85,7.94,3
Shiitake,21.5,75.32,0.61,166.88,63.98,79.65,11.36,6
Milky,24.85,67.57,0.77,208.95,54.19,76.49,8.7,3
Button,16.97,90.85,0.21,78.56,84.26,81.49,24.32,0
Oyster,22.16,91.2,0.32,100.73,71.1,83.99,19.39,4
Oyster,26.05,88.14,0.31,116.62,72.38,82.85,18.29,4
Button,18.93,89.23,0.1,56.33,78.13,84.61,22.94,0
Button,19.09,92.26,0.28,99.05,75.45,83.73,22.58,0
Button,26.49,70.59,0.61,176.57,56.68,70.66,9.63,0
Milky,22.79,72.15,0.58,197.5,55.15,75.01,10.41,3
Oyster,21.11,88.11,0.39,112.95,60.01,77.12,18.05,4
Oyster,26.59,84.91,0.31,110.17,70.88,83.99,18.63,4
Lion's Mane,21.97,93.06,0.2,88.01,69.47,90.93,15.43,2
Lion's Mane,20.33,85.96,0.2,79.96,75.91,91.11,14.98,2
Lion's Mane,20.65,90.01,0.29,96.67,73.33,72.26,15.91,2
Milky,23.47,71.61,0.51,192.79,57.81,71.06,10.27,3
Portobello,16.34,89.22,0.5,120.38,67.1,88.7,19.4,5
Shiitake,22.58,77.17,0.71,164.66,58.05,72.27,10.16,6
Portobello,18.63,88.1,0.39,149.29,62.74,87.52,17.15,5
Shiitake,20.39,73.99,0.58,152.94,55.56,78.72,11.99,6
Oyster,23.99,99.98,0.29,107.48,72.56,78.8,19.42,4
Button,20.49,85.75,0.3,98.1,75.67,86.66,21.41,0
Oyster,21.36,83.83,0.5,146.83,66.9,81.04,17.67,4
Enoki,16.32,83.72,0.53,125.73,61.6,85.23,21.19,1
Enoki,27.3,74.59,0.75,194.98,55.77,68.67,9.29,1
Enoki,11.96,88.04,0.2,47.46,78.16,93.73,25.55,1
Milky,25.12,63.12,0.88,188.97,54.39,71.0,9.14,3
Oyster,24.9,88.38,0.3,100.87,65.66,86.54,17.77,4
Milky,25.88,71.09,0.98,213.15,53.85,67.61,7.52,3
Milky,28.77,77.98,0.54,190.75,62.16,76.31,10.16,3
Button,19.26,93.91,0.1,57.22,83.02,86.14,24.25,0
Lion's Mane,20.65,81.23,0.3,101.91,64.93,82.19,15.64,2
Portobello,16.78,78.79,0.51,132.2,59.48,89.05,21.68,5
Milky,28.05,67.99,0.81,191.64,61.09,70.93,9.06,3
Portobello,19.68,89.06,0.39,145.79,66.98,87.38,20.06,5
Button,20.28,94.81,0.29,98.48,72.66,89.36,23.6,0
Lion's Mane,19.99,92.6,0.22,75.69,70.74,90.16,15.86,2
Milky,27.48,68.17,0.92,201.02,57.47,75.86,8.17,3
Portobello,17.09,80.98,0.51,126.54,61.2,71.08,19.97,5
Oyster,21.98,86.48,0.41,118.95,63.96,81.92,18.8,4
Milky,26.1,75.49,0.78,199.86,55.28,67.93,8.21,3
Milky,19.87,92.32,0.18,77.88,74.86,83.42,15.22,3
Portobello,16.97,95.17,0.51,126.16,66.22,83.15,19.51,5
Enoki,25.88,68.29,0.85,179.33,54.16,73.16,7.05,1
Shiitake,21.02,81.91,0.59,160.31,58.06,74.88,11.71,6
Lion's Mane,20.17,87.98,0.32,96.8,76.4,95.78,15.79,2
Milky,24.54,73.98,0.63,194.8,60.73,71.9,9.08,3
Shiitake,24.37,82.15,0.73,168.37,54.46,75.44,11.54,6
Shiitake,21.83,83.84,0.6,140.38,58.72,78.35,12.81,6
Enoki,11.58,89.93,0.1,42.82,79.68,94.08,26.51,1
Button,19.33,90.62,0.29,101.39,74.01,80.59,21.13,0
Button,19.89,80.3,0.3,106.53,75.65,76.37,21.67,0
Enoki,10.2,93.05,0.1,35.94,83.05,97.78,25.87,1
Button,19.03,97.13,0.1,57.97,79.83,83.57,23.73,0
Lion's Mane,20.82,84.07,0.21,82.67,67.64,92.71,15.2,2
Oyster,24.38,84.49,0.45,145.93,65.21,79.64,17.28,4
Enoki,10.94,97.35,0.1,40.31,88.17,96.33,31.08,1
Portobello,18.53,92.81,0.4,137.55,66.93,80.76,19.76,5
Oyster,24.79,96.87,0.29,114.37,71.96,93.46,18.52,4
Milky,24.85,74.13,0.61,201.05,57.76,76.38,10.33,3
Milky,18.69,89.51,0.19,78.13,77.16,87.79,16.05,3
Button,19.95,91.19,0.2,82.21,75.16,97.63,20.54,0
Enoki,11.63,92.83,0.2,48.27,72.52,89.63,24.97,1
Enoki,11.03,92.39,0.1,32.01,74.31,94.54,28.77,1
Button,19.63,100.25,0.1,62.98,77.75,85.4,25.78,0
Shiitake,23.16,88.28,0.52,155.66,62.45,73.66,12.54,6
Oyster,21.5,86.65,0.43,117.05,66.66,81.31,19.1,4
Oyster,23.16,95.82,0.49,137.78,71.46,83.05,18.09,4
Shiitake,22.65,89.79,0.48,159.18,64.47,75.26,12.63,6
Button,19.55,96.9,0.28,104.6,79.8,83.12,24.6,0
Oyster,25.8,92.06,0.3,108.1,74.89,96.97,19.43,4
Button,18.56,91.98,0.1,59.52,72.49,93.34,24.61,0
Enoki,11.26,101.74,0.1,31.74,78.15,94.67,27.38,1
Milky,19.5,82.13,0.3,89.4,70.16,86.78,14.88,3
Oyster,25.41,91.66,0.3,112.46,64.5,79.27,17.87,4
Enoki,10.91,92.75,0.1,31.53,84.23,97.99,29.04,1
Milky,26.02,78.66,0.61,178.76,55.51,76.09,10.36,3
Enoki,13.18,98.24,0.2,46.81,77.88,87.45,24.94,1
Oyster,24.35,85.42,0.51,137.26,67.9,78.63,17.53,4
Milky,25.82,76.42,0.61,186.71,51.51,73.71,11.63,3
Lion's Mane,19.58,93.03,0.21,81.23,64.08,81.38,16.14,2
Shiitake,20.79,84.36,0.59,158.5,61.78,66.53,12.39,6
Enoki,10.54,100.13,0.11,42.62,77.89,96.66,28.3,1
Lion's Mane,19.68,88.4,0.19,80.76,73.68,91.16,15.26,2
Shiitake,21.23,86.0,0.51,145.15,65.4,83.15,12.53,6
Oyster,22.89,85.35,0.5,135.03,63.66,76.95,17.74,4
Lion's Mane,22.42,87.2,0.28,96.22,75.18,84.92,16.48,2
Milky,25.64,70.66,0.76,207.82,57.32,74.01,9.11,3
Button,17.34,96.09,0.18,79.89,76.26,85.74,24.22,0
Button,19.22,99.85,0.31,99.13,75.36,86.64,24.23,0
Button,17.86,96.35,0.2,83.02,74.75,98.92,26.96,0
Milky,27.23,68.74,0.78,191.7,56.05,69.11,10.01,3
Button,17.14,93.86,0.1,63.34,79.12,84.33,22.95,0
Button,19.11,96.27,0.1,66.31,76.94,89.61,25.17,0
Oyster,23.26,83.56,0.56,133.05,70.36,82.07,17.2,4
Lion's Mane,19.57,85.53,0.17,79.24,80.69,92.49,14.99,2
Button,17.76,99.2,0.19,77.12,72.14,90.61,23.09,0
Button,19.6,101.28,0.09,55.6,78.64,88.22,24.21,0
Shiitake,22.65,82.61,0.48,179.26,62.54,74.32,13.1,6
Button,20.76,100.34,0.11,60.98,80.58,84.19,25.0,0
Milky,27.7,70.21,0.82,189.68,58.42,68.76,8.68,3
Enoki,21.19,89.32,0.27,91.58,67.55,92.45,16.52,1
Enoki,11.9,86.89,0.21,50.45,81.72,89.8,25.87,1
Milky,26.42,70.0,0.83,214.85,58.36,65.23,8.08,3
Button,20.63,89.09,0.29,102.44,82.86,85.18,24.39,0
Shiitake,21.32,89.48,0.61,154.1,62.68,69.75,11.71,6
Shiitake,21.36,78.65,0.52,158.26,61.98,78.34,11.11,6
Oyster,24.3,90.68,0.3,113.23,74.17,81.51,19.39,4
Enoki,11.57,90.22,0.18,50.08,78.83,89.15,24.92,1
Portobello,18.31,85.92,0.49,122.78,69.62,80.78,18.58,5
Shiitake,23.29,80.27,0.43,161.59,63.35,77.54,13.8,6
Milky,22.62,74.37,0.79,206.66,59.59,80.76,8.71,3
Milky,19.61,86.38,0.3,98.9,73.74,81.85,23.93,3
Shiitake,21.02,77.29,0.74,161.66,56.65,76.73,11.43,6
Button,17.46,98.54,0.22,83.92,75.32,86.36,23.96,0
Shiitake,22.63,89.2,0.72,168.76,55.32,76.24,11.8,6
Portobello,18.45,92.38,0.52,129.52,68.53,86.84,19.58,5
Shiitake,21.51,75.11,0.74,177.97,59.84,75.33,9.68,6
Lion's Mane,20.59,89.01,0.2,78.71,75.87,90.62,15.1,2
Portobello,19.5,96.48,0.46,125.74,61.63,82.8,20.19,5
Button,18.87,89.42,0.19,80.01,76.6,89.18,21.89,0
Enoki,22.24,81.02,0.49,149.76,61.65,78.67,13.17,1
Oyster,24.54,85.11,0.39,119.02,66.76,81.37,19.25,4
Lion's Mane,20.46,92.98,0.2,79.33,73.46,88.81,15.08,2
Shiitake,22.26,86.81,0.66,155.88,55.6,72.51,10.04,6
Milky,26.88,66.27,0.8,192.77,53.9,78.73,9.05,3
Oyster,24.26,76.47,0.55,136.09,69.61,90.1,18.83,4
Portobello,17.84,82.16,0.53,137.6,64.25,82.82,18.47,5
Button,18.65,87.89,0.21,82.79,77.42,84.97,23.71,0
Lion's Mane,11.74,85.53,0.22,53.45,72.96,93.1,26.32,2
Enoki,11.16,94.84,0.1,31.05,76.23,92.25,31.31,1
Enoki,10.36,99.24,0.09,39.89,78.1,98.1,25.65,1
Lion's Mane,20.78,92.32,0.31,92.22,72.99,85.31,16.8,2
Button,22.21,85.59,0.29,104.3,74.53,85.8,23.03,0
Milky,26.33,72.91,0.84,218.54,52.26,69.02,8.32,3
Lion's Mane,21.89,86.95,0.44,81.06,70.92,81.32,14.63,2
Button,19.58,83.57,0.1,57.45,78.68,101.14,21.59,0
Milky,25.82,62.74,0.79,199.63,53.99,65.39,9.72,3
Portobello,18.3,92.41,0.39,142.97,64.39,80.82,19.1,5
Milky,26.8,65.98,0.87,202.67,53.3,71.56,7.16,3
Oyster,23.72,92.64,0.4,112.22,68.3,81.01,18.49,4
Lion's Mane,21.28,87.97,0.41,89.8,64.54,85.14,15.56,2
Enoki,11.5,102.4,0.1,31.3,85.84,92.95,30.05,1
Shiitake,11.15,95.63,0.1,40.68,71.66,91.14,27.67,6
Portobello,17.14,76.87,0.5,128.71,62.08,80.21,19.97,5
Lion's Mane,19.2,90.95,0.21,78.03,65.24,91.76,14.52,2
Button,24.26,80.84,0.53,167.74,61.35,84.02,13.17,0
Button,19.26,93.91,0.21,82.5,70.71,90.26,23.6,0
Shiitake,19.79,78.16,0.59,144.83,56.22,85.76,12.32,6
Milky,28.67,67.71,0.85,182.39,56.07,67.58,9.42,3
Oyster,10.41,89.86,0.1,39.88,86.2,82.03,31.06,4
Oyster,22.59,85.97,0.31,104.78,71.62,78.26,19.81,4
Lion's Mane,20.15,89.87,0.21,82.79,69.69,91.02,14.86,2
Button,21.19,90.58,0.29,107.1,76.26,79.85,23.48,0
Lion's Mane,20.02,90.84,0.39,90.56,71.95,81.55,15.28,2
Lion's Mane,18.7,90.81,0.4,89.69,67.35,84.84,14.82,2
Enoki,19.16,93.95,0.3,94.46,69.34,79.43,22.23,1
Portobello,16.78,94.74,0.51,120.9,66.19,74.28,20.63,5
Milky,20.74,90.55,0.3,98.1,70.55,84.88,17.29,3
Shiitake,21.59,81.26,0.66,146.02,58.99,79.34,12.93,6
Milky,26.56,74.99,0.61,191.28,57.61,77.59,10.22,3
Milky,26.37,67.49,0.9,205.26,53.52,67.35,7.55,3
Lion's Mane,19.46,94.56,0.4,90.87,67.14,83.65,15.52,2
Shiitake,21.8,83.35,0.48,144.51,67.07,72.18,12.79,6
Lion's Mane,21.01,79.34,0.29,93.65,69.1,85.95,15.95,2
Shiitake,20.9,84.4,0.46,149.6,64.64,81.7,12.95,6
Milky,26.96,66.49,0.8,182.24,54.78,69.0,9.41,3
Milky,24.98,68.23,0.83,179.61,55.48,68.26,9.01,3
Lion's Mane,17.09,81.54,0.39,94.66,67.07,89.48,14.61,2
Shiitake,24.42,88.67,0.56,158.73,62.92,70.24,13.96,6
Button,19.98,90.02,0.3,105.87,79.22,85.16,21.95,0
Shiitake,21.53,85.28,0.53,152.98,56.26,79.17,13.09,6
Portobello,18.47,86.59,0.43,144.82,66.52,77.15,18.32,5
Shiitake,21.57,79.0,0.5,167.12,66.93,75.22,12.97,6
Enoki,12.22,93.78,0.21,47.82,85.89,88.73,25.36,1
Lion's Mane,20.3,107.67,0.18,86.9,70.97,90.28,14.97,2
Shiitake,24.76,79.23,0.71,174.13,54.36,76.73,11.05,6
Enoki,11.83,96.86,0.09,28.41,80.23,101.35,28.64,1
Portobello,17.94,88.86,0.52,120.5,61.19,87.76,20.33,5
Enoki,11.76,100.98,0.09,28.08,81.55,90.24,27.81,1
Shiitake,20.75,81.11,0.49,154.87,58.85,79.58,12.58,6
Oyster,23.41,88.08,0.48,136.08,64.83,78.61,17.94,4
Milky,27.0,73.12,0.63,179.49,54.65,71.75,9.74,3
Portobello,18.52,82.58,0.36,141.89,60.59,81.72,17.7,5
Button,19.54,92.79,0.11,60.66,83.43,78.98,23.98,0
Button,22.05,90.65,0.4,89.05,64.76,85.33,15.19,0
Lion's Mane,23.03,78.13,0.66,171.88,59.87,76.15,10.86,2
Oyster,25.38,87.67,0.28,106.5,69.76,80.42,20.17,4
Lion's Mane,21.44,81.35,0.31,98.32,66.96,84.13,15.89,2
Button,21.84,81.5,0.53,150.75,68.8,79.15,22.15,0
Milky,26.59,74.58,0.58,192.13,59.04,66.42,10.58,3
Shiitake,23.32,81.42,0.5,164.24,62.64,82.24,11.86,6
Lion's Mane,19.43,88.43,0.19,78.83,72.55,93.53,15.01,2
Milky,28.21,66.31,0.9,203.29,48.98,66.51,7.8,3
Button,19.46,97.09,0.31,102.77,76.89,84.93,24.38,0
Lion's Mane,21.2,92.79,0.28,93.03,63.97,88.58,15.88,2
Oyster,25.2,94.88,0.28,105.94,71.58,82.46,18.77,4
Oyster,21.7,91.76,0.43,126.42,62.63,83.48,16.84,4
Lion's Mane,19.98,85.25,0.21,78.92,75.39,93.94,15.81,2
Lion's Mane,20.59,85.03,0.31,92.57,69.58,88.19,15.28,2
Oyster,22.41,84.55,0.5,136.36,65.8,79.67,16.84,4
Milky,26.86,70.12,0.63,171.32,63.92,78.81,9.72,3
Lion's Mane,21.01,82.41,0.29,92.31,66.04,83.27,14.85,2
Enoki,10.94,96.76,0.1,41.83,87.75,91.28,25.96,1
Button,19.33,93.2,0.1,55.96,84.62,84.19,23.44,0
Lion's Mane,19.2,83.19,0.42,91.53,66.51,86.51,14.28,2
Button,18.74,100.25,0.09,62.68,81.48,96.05,23.51,0
Oyster,25.54,80.95,0.5,154.73,66.59,80.15,15.58,4
Milky,25.71,65.7,0.87,218.72,55.39,71.58,8.47,3
Enoki,11.58,95.73,0.11,28.1,76.87,97.6,27.31,1
Portobello,18.53,79.75,0.38,138.34,67.26,80.76,19.41,5
Shiitake,22.52,75.62,0.58,143.47,60.66,78.3,12.97,6
Milky,27.0,71.09,0.81,198.68,50.62,75.15,9.17,3
Button,20.86,83.94,0.32,108.67,80.43,80.64,22.65,0
Shiitake,19.72,75.65,0.21,78.74,67.15,93.11,15.48,6
Oyster,25.4,90.6,0.3,113.05,66.98,84.13,16.96,4
Lion's Mane,19.95,82.08,0.38,89.72,67.78,86.39,14.93,2
Lion's Mane,20.94,89.84,0.22,83.15,76.85,85.6,14.41,2
Portobello,18.68,86.54,0.44,140.0,63.04,83.84,20.98,5
Milky,26.93,64.66,0.95,234.36,53.52,66.84,7.38,3
Milky,26.5,67.94,0.76,208.35,57.51,66.44,9.72,3
Shiitake,19.57,84.37,0.62,163.47,62.12,77.05,11.38,6
Button,17.74,99.32,0.21,79.45,73.05,88.47,25.54,0
Lion's Mane,17.9,83.69,0.47,119.03,59.17,77.37,19.29,2
Portobello,16.13,79.93,0.39,142.87,65.26,79.98,19.17,5
Enoki,11.5,91.32,0.19,49.1,74.72,93.04,27.11,1
Enoki,10.89,97.28,0.2,53.48,78.48,86.44,26.72,1
Enoki,10.33,99.44,0.1,44.72,78.69,82.91,25.99,1
Milky,26.69,70.33,0.86,203.58,49.91,74.12,8.62,3
Portobello,18.1,88.56,0.49,143.3,62.81,81.33,21.99,5
Oyster,25.57,68.98,0.61,192.15,55.79,75.74,9.31,4
Button,18.23,98.37,0.2,84.41,76.75,96.06,25.65,0
Lion's Mane,20.95,85.82,0.29,94.91,71.52,88.86,15.45,2
Milky,28.4,64.95,0.77,208.14,50.42,77.11,8.85,3
Portobello,19.16,96.69,0.39,137.74,58.13,87.54,19.87,5
Shiitake,20.47,82.49,0.51,161.05,60.97,72.15,12.49,6
Portobello,17.09,94.38,0.52,141.9,66.72,83.24,19.97,5
Enoki,20.11,98.89,0.09,67.94,74.5,82.23,24.6,1
Lion's Mane,18.93,80.51,0.39,94.85,66.12,91.8,15.9,2
Portobello,18.35,83.44,0.39,132.51,59.6,86.53,19.15,5
Enoki,9.59,103.95,0.1,38.0,74.57,87.39,29.29,1
Lion's Mane,19.29,89.16,0.45,83.89,63.25,86.44,15.9,2
Portobello,19.28,81.52,0.37,137.38,63.32,82.16,17.23,5
Enoki,10.89,91.33,0.1,29.74,80.71,93.07,28.02,1
Oyster,22.93,89.72,0.31,121.66,72.03,73.45,18.96,4
Lion's Mane,20.73,83.69,0.42,83.35,69.5,90.19,14.23,2
Milky,25.4,67.77,0.77,189.34,60.84,76.79,9.86,3
Enoki,10.98,98.56,0.1,43.32,73.64,98.81,27.42,1
Button,18.6,83.13,0.21,85.04,75.67,90.64,22.02,0
Shiitake,22.68,81.8,0.68,166.89,58.0,79.31,10.38,6
Shiitake,22.07,73.23,0.72,171.59,60.91,72.37,11.42,6
Enoki,11.96,95.26,0.21,52.03,74.12,88.31,26.13,1
Button,18.0,91.03,0.1,58.1,77.08,91.27,24.79,0
Lion's Mane,21.07,87.97,0.29,94.13,66.54,86.85,15.35,2
Portobello,18.91,85.36,0.41,142.85,68.46,81.02,18.63,5
Lion's Mane,20.09,86.13,0.31,92.08,69.55,88.48,16.96,2
Shiitake,23.36,79.11,0.48,161.42,65.92,81.65,12.09,6
Shiitake,22.25,84.64,0.57,147.05,60.54,82.79,12.36,6
Shiitake,24.67,79.55,0.69,175.68,63.37,73.95,10.57,6
Enoki,12.04,93.87,0.19,51.98,81.89,86.72,25.62,1
Portobello,18.14,85.94,0.37,131.23,57.88,85.86,19.01,5
Oyster,20.42,86.5,0.28,108.73,81.32,84.36,23.59,4
